Emirates Stadium, London, England, 60338
Villa Park, Birmingham, England, 42682
Turf Moor, Burnley, England, 21401
Stamford Bridge, London, England, 41837
Selhurst Park, London, England, 26255
Goodison Park, Liverpool, England, 39572
KC Stadium, Kingston upon Hull, England, 25400
King Power Stadium, Leicester, England, 32262
Anfield, Liverpool, England, 45276
City of Manchester Stadium, Manchester, England, 47405
Old Trafford, Manchester, England, 75731
St James' Park, Newcastle upon Tyne, England, 52405
Loftus Road Stadium, London, England, 18489
St Mary's Stadium, Southampton, England, 32505
Britannia Stadium, Stoke-on-Trent, England, 27740
Stadium of Light, Sunderland, England, 48707
Liberty Stadium, Swansea, Wales, 20827
White Hart Lane, London, England, 36284
The Hawthorns, West Bromwich, England, 26850
The Boleyn Ground, London, England, 35016
St Andrew's Stadium, Birmingham, England, 30016
Ewood Park, Blackburn, England, 31154
Bloomfield Road, Blackpool, England, 16223
Macron Stadium, Bolton, England, 28723
Goldsands Stadium, Bournemouth, England, 12000
Griffin Park, London, England, 12300
The Amex, Brighton, England, 30750
Cardiff City Stadium, Cardiff, Wales, 33280
The Valley, London, England, 27111
iPro Stadium, Derby, England, 33597
Craven Cottage, London, England, 25700
John Smith's Stadium, Huddersfield, England, 24500
Portman Road, Ipswich, England, 30311
Elland Road, Leeds, England, 37360
Riverside Stadium, Middlesbrough, England, 34742
The Den, London, England, 20146
Carrow Road, Norwich, England, 27244
City Ground, Nottingham, England, 30602
Madejski Stadium, Reading, England, 24200
New York Stadium, Rotherham, England, 12021
Hillsborough, Sheffield, England, 39812
Vicarage Road, Watford, England, 20877
DW Stadium, Wigan, England, 25023
Molineux, Wolverhampton, England, 31700
San Mamés, Bilbao, Spain, 53332 
Vicente Calderón, Madrid, Spain, 54907 
Nuevo Arcángel, Córdoba, Spain, 21822 
Riazor, A Coruña, Spain, 34639 
Martínez Valero, Elche, Spain, 38750 
Camp Nou, Barcelona, Spain, 99786 
Coliseum Alfonso Pérez, Getafe, Spain, 17700 
Nuevo Los Cármenes, Granada, Spain, 22524 
Ciutat de València, Valencia, Spain, 25534 
La Rosaleda, Málaga, Spain, 30044 
Campo de Vallecas, Madrid, Spain, 14708 
Power8 Stadium, Barcelona, Spain, 40500 
Balaídos, Vigo, Spain, 31800 
Santiago Bernabéu, Madrid, Spain, 81044 
Anoeta, San Sebastián, Spain, 32076 
Ipurúa, Eibar, Spain, 5910 
Ramón Sánchez Pizjuán, Seville, Spain, 45500 
Estadio de los Juegos Mediterráneos, Almeria, Spain, 22000 
Mestalla, Valencia, Spain, 55000 
El Madrigal, Villarreal, Spain, 22000 
Stadio Atleti Azzurri d'Italia, Bergamo, Italy, 26642 
Stadio Sant'Elia, Cagliari, Italy, 16000 
Stadio Dino Manuzzi, Cesena, Italy, 23850 
Stadio Marcantonio Bentegodi, Verona, Italy, 38402 
Stadio Carlo Castellani, Empoli, Italy, 19847 
Stadio Artemio Franchi, Florence, Italy, 47282 
Stadio Luigi Ferraris, Genoa, Italy, 36703 
San Siro, Milan, Italy, 83381 
Giuseppe Meazza, Milan, Italy, 83381 
Juventus Stadium, Turin, Italy, 41254 
Stadio Olimpico (Rome), Rome, Italy, 70634 
Stadio San Paolo, Naples, Italy, 60240 
Stadio Renzo Barbera, Palermo, Italy, 36349 
Stadio Ennio Tardini, Parma, Italy, 27906 
Mapei Stadium – Città del Tricolore, Emilia, Italy, 21584 
Stadio Olimpico (Turin), Turin, Italy, 28140 
Stadio Friuli, Udine, Italy, 25000 
SGL arena, Augsburg, Germany, 30660
BayArena, Leverkusen, Germany, 30210
Allianz Arena, Munich, Germany, 71000
Signal Iduna Park, Dortmund, Germany, 80645
Stadion im Borussia-Park, Mönchengladbach, Germany, 54010
Commerzbank-Arena, Frankfurt, Germany, 51500
MAGE SOLAR Stadion, Freiburg, Germany, 24000
Imtech Arena, Hamburg, Germany, 57000
HDI-Arena, Hanover, Germany, 49000
Olympiastadion, Berlin, Germany, 74244
Rhein-Neckar Arena, Sinsheim, Germany, 30150
RheinEnergieStadion, Cologne, Germany, 50000
Coface Arena, Mainz, Germany, 34000
Benteler Arena, Paderborn, Germany, 15000
Veltins-Arena, Gelsenkirchen, Germany, 61973
Mercedes-Benz Arena, Stuttgart, Germany, 60441
Weserstadion, Bremen, Germany, 42100
Volkswagen Arena, Wolfsburg, Germany, 30000
Stade Louis II, Fontvieille, Monaco, 18523
Stade Armand Cesari, Furiani, France, 16480
Stade Chaban-Delmas, Bordeaux, France, 34462
Stade Michel d'Ornano, Caen, France, 21500
Parc des Sports, Annecy, France, 15600
Stade du Roudourou, Guingamp, France, 18126
Stade de la Licorne, Amiens, France, 12097
Stade Pierre-Mauroy, Villeneuve d'Ascq, France, 50186
Stade du Moustoir, Lorient, France, 18500
Stade de Gerland, Lyon, France, 41044
Stade Vélodrome, Marseille, France, 67000
Stade Saint-Symphorien, Metz, France, 26700
Stade de la Mosson, Montpellier, France, 32900
Stade de la Beaujoire, Nantes, France, 38285
Allianz Riviera, Nice, France, 35624
Parc des Princes, Paris, France, 48712
Stade Auguste Delaune, Reims, France, 21684
Route de Lorient, Rennes, France, 29376
Stade Geoffroy-Guichard, Saint-Étienne, France, 40830
Stadium Municipal, Toulouse, France, 35472
